Transaction Type,Transaction ID,Tax lot ID,Asset name,Amount,Date Acquired,Cost basis (USD),Date of Disposition,Proceeds (USD),Gains (Losses) (USD),Holding period (Days),Data source
Sell,7b6dd03c-8e9d-50c5-916c-447d86252e29,f0fcf8af-9c27-4c3b-9ccd-c20393d1826f,TRB,0.0262347542056722,01/01/2024,4.8245355929226434,01/01/2024,4.605695373719295,-0.2188402192033483,0,Coinbase
Sell,7b6dd03c-8e9d-50c5-916c-447d86252e29,50748d71-bf11-47b2-9921-a89a13d2493b,TRB,0.0007652457943278,12/31/2023,0.17118278899544123,01/01/2024,0.13434427428070464,-0.03683851471473659,1,Coinbase
Sell,7c152fcd-ef7e-5451-82af-ab1318407de9,f0fcf8af-9c27-4c3b-9ccd-c20393d1826f,TRB,0.223,01/01/2024,41.009396497,01/01/2024,39.149216352,-1.860180145,0,Coinbase
Sell,988596e5-c7bd-57f7-b267-23650ba16faa,f0fcf8af-9c27-4c3b-9ccd-c20393d1826f,TRB,0.75,01/01/2024,137.92397925,01/01/2024,130.38616575,-7.5378135,0,Coinbase
Sell,cb4bdeb1-c296-5966-96ac-f82fede9be9a,55920a30-dede-4d6c-af18-b1b87875541b,TRB,0.4402347542056722,01/01/2024,79.38583391975763,01/01/2024,79.89066872179545,0.5048348020378125,0,Coinbase
Sell,cb4bdeb1-c296-5966-96ac-f82fede9be9a,f0fcf8af-9c27-4c3b-9ccd-c20393d1826f,TRB,0.0007652457943278,01/01/2024,0.14072766007735635,01/01/2024,0.13887135820455354,-0.0018563018728028097,0,Coinbase
Sell,cb4bdeb1-c296-5966-96ac-f82fede9be9a,5c193cf3-7d92-486e-b182-3d9e085df1fc,TRB,0.027,01/01/2024,4.86880578,01/01/2024,4.89976776,0.03096198,0,Coinbase
Sell,cb4bdeb1-c296-5966-96ac-f82fede9be9a,5904230f-04f1-4b98-bd40-d405f486ea0e,TRB,0.091,01/01/2024,16.40967874,01/01/2024,16.51403208,0.10435334,0,Coinbase
Sell,cb4bdeb1-c296-5966-96ac-f82fede9be9a,6798e517-37ea-4774-906f-808c3499dac9,TRB,0.441,01/01/2024,79.52382774,01/01/2024,80.02954008,0.50571234,0,Coinbase
Sell,1193e925-fc92-5f3d-a153-ad7295e68389,cacf762f-e188-48bd-b0fc-9d274f139b4e,TRB,2,01/01/2024,378.2646,01/01/2024,389.886888,11.622288,0,Coinbase
Sell,1193e925-fc92-5f3d-a153-ad7295e68389,7b8494a9-66a9-4147-afa0-dec4255273ee,TRB,0.441,01/01/2024,86.381764938,01/01/2024,85.970058804,-0.411706134,0,Coinbase
Sell,1193e925-fc92-5f3d-a153-ad7295e68389,6e34d845-5433-48fc-8f26-089f2d033d4e,TRB,0.441,01/01/2024,86.381764938,01/01/2024,85.970058804,-0.411706134,0,Coinbase
Sell,1193e925-fc92-5f3d-a153-ad7295e68389,d65a13a3-54d0-41de-ba8c-6139bc8293c8,TRB,0.118,01/01/2024,23.113488124,01/01/2024,23.003326392,-0.110161732,0,Coinbase
Sell,535b2ed0-95e8-552e-9285-8fb03df43ef5,841bc5ec-beae-424a-aaae-587b28f19e4f,TRB,2.918,01/01/2024,584.942933632,01/01/2024,562.48818246,-22.454751172,0,Coinbase
Sell,535b2ed0-95e8-552e-9285-8fb03df43ef5,f5cbb782-13ca-4f12-9c8d-aa89e6a1d650,TRB,0.082,01/01/2024,16.437738368,01/01/2024,15.80672754,-0.631010828,0,Coinbase
Sell,535b2ed0-95e8-552e-9285-8fb03df43ef5,6d8b322f-8682-4a66-a03d-7020f57557a4,TRB,1,01/01/2024,181.977295,01/01/2024,192.76497,10.787675,0,Coinbase
Sell,535b2ed0-95e8-552e-9285-8fb03df43ef5,cacf762f-e188-48bd-b0fc-9d274f139b4e,TRB,1,01/01/2024,189.1323,01/01/2024,192.76497,3.63267,0,Coinbase
Sell,535b2ed0-95e8-552e-9285-8fb03df43ef5,2788ba0f-0acf-4130-8743-70890ad575ca,TRB,1,01/01/2024,182.297519,01/01/2024,192.76497,10.467451,0,Coinbase
Sell,03fb9a48-6e5f-5e1c-a481-fe389637cf78,5778c4a3-e661-4b66-ad16-29d8886f6512,TRB,0.991,01/01/2024,196.583442151,01/01/2024,184.206874863,-12.376567288,0,Coinbase
Sell,86d532c3-858d-5f7f-a77c-a0fffd1c0507,5778c4a3-e661-4b66-ad16-29d8886f6512,TRB,0.009,01/01/2024,1.785318849,01/01/2024,1.672918137,-0.112400712,0,Coinbase
Sell,6c0c57c5-b7be-50a9-a5df-0b65a33eacf3,6abded7d-8a49-428d-acab-eeaebccae199,TRB,0.35,01/01/2024,68.32229215,01/01/2024,68.6708967,0.34860455,0,Coinbase
Sell,6c0c57c5-b7be-50a9-a5df-0b65a33eacf3,fdabe613-ea8d-4214-b772-873287579e69,TRB,0.07,01/01/2024,13.66445843,01/01/2024,13.73417934,0.06972091,0,Coinbase
Sell,6c0c57c5-b7be-50a9-a5df-0b65a33eacf3,7bc3d497-6503-4e03-ad6d-003102e62c69,TRB,0.18,01/01/2024,35.13717882,01/01/2024,35.31646116,0.17928234,0,Coinbase
Sell,6c0c57c5-b7be-50a9-a5df-0b65a33eacf3,eeb22f48-b071-4ddd-8516-7970dfa7a653,TRB,0.4,01/01/2024,78.0826196,01/01/2024,78.4810248,0.3984052,0,Coinbase
Sell,5c1429f6-232c-5242-826c-a88757be36b2,1b9c8161-3c01-46b3-a055-45de2d3ccef7,TRB,1,01/01/2024,197.217956,01/01/2024,199.790049,2.572093,0,Coinbase
Sell,5c1429f6-232c-5242-826c-a88757be36b2,b105f773-efcb-49ea-9cb2-3f21f3079625,TRB,0.377,01/01/2024,74.192718574,01/01/2024,75.320848473,1.128129899,0,Coinbase
Sell,ed974289-cd7f-575f-8dd2-f387c8cf1257,b105f773-efcb-49ea-9cb2-3f21f3079625,TRB,0.623,01/01/2024,122.604943426,01/01/2024,124.469200527,1.864257101,0,Coinbase
Sell,611ee238-d1f4-5378-8a24-28ea13f227de,d3437e28-70ae-463b-86df-d2df2eafb7f4,TRB,0.486,01/01/2024,97.540390512,01/01/2024,93.68377542,-3.856615092,0,Coinbase
Sell,b9950862-2aec-5ea2-bdc8-fe354418b8bd,d3437e28-70ae-463b-86df-d2df2eafb7f4,TRB,0.514,01/01/2024,103.160001488,01/01/2024,99.08119458,-4.078806908,0,Coinbase
Sell,55382995-b41d-5fbf-9d38-a52ed8b921d3,efed75f9-e7da-454b-be01-046e270b36e9,TRB,2,01/01/2024,422.415484,01/01/2024,437.873274,15.45779,0,Coinbase
Sell,7b97867a-d3b9-5d4c-8c39-93197bff8747,fff7b37e-63d1-4c04-8428-c6da46de223f,TRB,1,01/01/2024,205.904032,01/01/2024,218.876679,12.972647,0,Coinbase
Sell,7b97867a-d3b9-5d4c-8c39-93197bff8747,ab9191b3-ace3-48b3-827e-2b5c8dcb34b8,TRB,2,01/01/2024,420.534168,01/01/2024,437.753358,17.21919,0,Coinbase
Sell,7b97867a-d3b9-5d4c-8c39-93197bff8747,5e25f0b1-7eca-4ee6-9d07-23f36c902964,TRB,1,01/01/2024,205.924046,01/01/2024,218.876679,12.952633,0,Coinbase
Sell,bec194eb-b0b3-5434-8737-0b3baafb5b31,3eed45fb-caf6-4e63-bd30-c54c6b51e3e0,TRB,1,01/01/2024,221.084651,01/01/2024,221.574789,0.490138,0,Coinbase
Sell,9bf7b78f-c2cd-5752-9f06-7d1a5942acab,aaf0716f-b4fa-448c-a570-ea0b2da10904,TRB,0.428,01/01/2024,97.18117924,01/01/2024,97.25907096,0.07789172,0,Coinbase
Sell,b85a75a9-5d4d-54fc-abe5-15ca239f636b,10965fc4-22cc-4993-9889-22a2590a466b,TRB,0.961,01/01/2024,218.20353563,01/01/2024,218.37842802,0.17489239,0,Coinbase
Sell,b85a75a9-5d4d-54fc-abe5-15ca239f636b,aaf0716f-b4fa-448c-a570-ea0b2da10904,TRB,2.039,01/01/2024,462.97295437,01/01/2024,463.34403198,0.37107761,0,Coinbase
Sell,a44c304c-6bd3-5c20-a627-5031a30d982d,10965fc4-22cc-4993-9889-22a2590a466b,TRB,1.903,01/01/2024,432.09295349,01/01/2024,432.43928046,0.34632697,0,Coinbase
Sell,ac6cdc65-c5e6-5441-b703-83c7839a55a4,08e55856-66f1-4c78-a058-1e1d23d86726,TRB,2.906,01/01/2024,659.83295998,01/01/2024,660.36182292,0.52886294,0,Coinbase
Sell,ac6cdc65-c5e6-5441-b703-83c7839a55a4,10965fc4-22cc-4993-9889-22a2590a466b,TRB,0.094,01/01/2024,21.34353002,01/01/2024,21.36063708,0.01710706,0,Coinbase
Sell,30f0bb05-002e-5af9-882d-b819d23be0e2,08e55856-66f1-4c78-a058-1e1d23d86726,TRB,0.094,01/01/2024,21.34353002,01/01/2024,21.36063708,0.01710706,0,Coinbase
Sell,30f0bb05-002e-5af9-882d-b819d23be0e2,76a12fcc-d630-4b62-85bf-484bfbb4162a,TRB,2.906,01/01/2024,659.83295998,01/01/2024,660.36182292,0.52886294,0,Coinbase
Sell,441032b4-7e84-509f-8230-53ab42514767,76a12fcc-d630-4b62-85bf-484bfbb4162a,TRB,3,01/01/2024,681.17649,01/01/2024,681.72246,0.54597,0,Coinbase
Sell,ad52e031-900c-5fd8-8511-596bfdb6a0f2,b8b9d537-d51a-426a-b2c9-f0777b3948d2,TRB,4.68,01/01/2024,1062.6353244,01/01/2024,1063.4870376,0.8517132,0,Coinbase
Sell,ad52e031-900c-5fd8-8511-596bfdb6a0f2,76a12fcc-d630-4b62-85bf-484bfbb4162a,TRB,0.989,01/01/2024,224.56118287,01/01/2024,224.74117098,0.17998811,0,Coinbase
Sell,e44bebc4-0032-5c45-b3e6-c314881bb1d4,71f7354d-c2ea-4e39-bd4e-e1fe8a2fed5d,TRB,0.426,01/01/2024,92.319138192,01/01/2024,91.700424738,-0.618713454,0,Coinbase
Sell,e44bebc4-0032-5c45-b3e6-c314881bb1d4,67a8d8e6-a111-4ff8-b365-bcff31a420c7,TRB,2.574,01/01/2024,557.815637808,01/01/2024,554.077214262,-3.738423546,0,Coinbase
Sell,abb516bd-2a18-5dc1-96fb-b29c1c01f617,67a8d8e6-a111-4ff8-b365-bcff31a420c7,TRB,1.997,01/01/2024,432.773049224,01/01/2024,429.872648361,-2.900400863,0,Coinbase
