Type,ID1,ID2,Asset Name,Total Amount,Date,Total Cost Basis,Total Proceeds,Total Gains (Losses),Days Held,Source
Trade,28cd0a38-c5db-5450-926b-1105d98c5e51,913921c2-8bed-428c-8848-b13ca143f8cf,00,388233.10000000015,03/08/2024,29363.15153374985,0.0,0.0,0.04098839375,25
Trade,8c5981c6-68d2-5208-8a15-844a58aef293,902cbede-9e19-4ff6-a36d-71711ba997e9,A8,0.06,08/01/2024,0.008244,0.0,0.0,-0.001476,120
Trade,1630de2f-3da2-599f-a25f-f7086c3d967e,ba4c4391-778a-4b26-a2b2-2973b93fb66b,AAVE,19.904,08/04/2024,1998.95872,0.0,0.0,7.04548,0
Trade,48f27bec-9564-5d2c-9257-e9abff85c991,9cbff46d-34f3-4fc6-bea1-45b169e757f4,ABT,2839.0000000000005,05/05/2024,8873.311950000001,0.0,0.0,14.51465,0
Sell,89214338-adc6-519b-80b9-84245db737c9,2becb04a-8b84-4dff-aa3c-f78cd90da666,ADA,605.49,01/07/2024,299.993958877,0.0,0.0,11.980016213,1
Trade,187c80ca-34df-553d-a447-beb022571c8a,cc616ab4-7fc1-4d60-b969-0e37d36a2d28,AERGO,9470.500000000002,04/11/2024,1930.3117949999998,0.0,0.0,2.68735,0
Trade,754a45d5-5aaa-5a38-972b-6ff782a1c2b8,14bf71c8-2e2e-4dde-aec4-da015db2b4a5,AERO,1524.9,02/07/2024,143.8671098475,0.0,0.0,70.21838552625,19
Trade,f3f6fa4b-1c76-5821-81f1-e5a65dc2ee27,27b25cf5-f284-461c-b948-758c7ddf99c0,AIOZ,68702.79999999999,04/03/2024,47030.87890231081,0.0,0.0,1.13391,0
Sell,f6ac1c42-e94c-58b0-9560-604af9818357,c717eb38-8b70-408a-8c20-248caa07a2f5,AKT,0.7799999999999999,04/30/2024,2.9954614640000004,0.0,0.0,-0.0982432425,74
Sell,216763e0-1918-593f-ad1b-3c874f6185aa,0df2f883-2972-4931-b7ad-bf922b6a3e9c,ALEPH,5803.0,12/28/2023,1003.161528995,0.0,0.0,0.05507634,5
Trade,4b09b977-faa9-5d0a-8ccb-fcfddac4b878,4ecb9fa8-f468-4186-9860-e99568e0c5e7,ALGO,525.8,11/29/2024,199.40965,0.0,0.0,2.44497,0
Trade,a5f03203-b505-54c7-a474-c2488ae592b6,ca9608d5-ebc6-4e57-93af-e6b2c7b7ff72,API3,114.02,05/03/2024,273.02089,0.0,0.0,-0.00336,1
Trade,34f1a009-564b-5bed-ae4d-6846a09794f8,044ca5e3-50b2-42f1-b5a4-46945bc6b34e,APT,39.394999999999996,03/08/2024,498.8969996625,0.0,0.0,1.1137011075,16
Trade,e8303cf0-2eef-55cf-bb3b-6022c069f513,d46bfdc2-61f5-4d48-90c7-a61c47048466,ARB,5219.06,04/13/2024,4996.871166,0.0,0.0,8.575875,0
Trade,2b750e94-9969-5c62-98e0-6f292e4f98dd,8d7c1f3c-fcca-47d6-bbd6-94c9c7d6083f,ASM,213484.0,04/10/2024,6378.366265000001,0.0,0.0,16.10711,2
Trade,fadadfed-0c61-528a-b01b-0637f3c69cad,05d00a74-3415-4f68-90fe-18e6c77ef14b,AST,74077.00000000001,04/12/2024,11127.230009999997,0.0,0.0,-31.172085,0
Sell,b6870cd7-acab-5642-91f7-436d46ec92ae,fdd2fe8b-cea4-4b50-a765-bd9cf7c20a18,ATOM,1359.5300000000009,01/26/2024,10628.680551339441,0.0,0.0,0.09564550218475,57
Trade,daa6f8bc-57aa-59f7-8503-d3be1742f713,cca00165-d525-4097-a298-8fac43150069,AUCTION,82.76400000000001,09/13/2024,1195.1225600000002,0.0,0.0,0.25109,0
Trade,9c096ae9-e4ba-59f9-9744-aa9c2998c43b,30940a8a-b34e-4dfe-97da-2e5d06e93b79,AURORA,3245.9499999999994,04/14/2024,853.7214650000002,0.0,0.0,0,0
Sell,4e8f173a-63f9-5ae3-bdc6-dfed5d993d90,3ce86f8d-6512-4e4d-b8ba-fae5d9a6d5d0,AVAX,356.99504683999993,01/06/2024,13030.839077233002,0.0,0.0,5.857087,5
Trade,1a92cea9-88a0-5f16-be0a-1a59d6dd1f19,8bcc35e3-802f-4b9c-9524-b273ba145435,AVT,877.78,07/10/2024,1841.52964325,0.0,0.0,0.10955,1
Trade,9f21b842-6e2e-5c59-aa02-f4b5634ca95a,86bb63bf-7c11-49b3-8c83-fe917210e1e3,BAT,465.61,11/24/2024,150.4246227,0.0,0.0,-4.45355965,5
Trade,27f0ff39-5804-5c82-82a4-a1ecb1ebf153,cf44d172-5ee8-4c64-bb0d-113c2bdb91d6,BCH,78.42391886999997,02/19/2024,46841.987268888624,0.0,0.0,50.375245974516126,7
Trade,fa7babc9-5783-58f2-bc6e-ad53de95c326,2b4cbc5b-f8ff-4123-9fc0-5d8018aec260,BICO,2335.74,04/06/2024,1772.8628520000002,0.0,0.0,0.2409,0
Sell,c20dbbf0-ff95-5f4d-84a1-faefb4d97a31,d37a85d0-6cf5-4f8d-9c3d-009f5bc9c708,BIGTIME,99123.0,01/01/2024,12337.124952084228,0.0,0.0,0.35824796044167445,0
Trade,92aa6b02-c4fd-5cf2-94fa-9ebc6110473b,27f505f9-2b47-4989-a8aa-c1b843544e0c,BIT,281.3,02/25/2024,255.4244436875,0.0,0.0,1.77312471375,1
Trade,18abe961-3083-5bf7-97a8-b77a110e0ddf,4bc2dd67-44ec-4e60-91ed-dbca1bdc73b4,BLUR,12535.500000000002,04/19/2024,5282.5929486875,0.0,0.0,0.63566,5
Trade,6922191c-fda5-5b55-a6c6-05c140f8d991,1782b70d-d070-420f-bced-851f26422c82,BNT,60458.10120199999,04/09/2024,47784.02212378669,0.0,0.0,-2.1599414543,0
Trade,eccde968-42e7-54d9-8476-c4ebb4994708,d9a08f55-cc7b-4af7-b989-75273d9cc6ea,BOBA,800.6,09/30/2024,199.344235,0.0,0.0,-11.280535,26
Sell,576c26f9-7ee1-5718-8397-1084bb845897,18f9bbc7-b40a-486a-a461-232045df4bc8,BONK,1017613648.0,12/25/2023,19522.68952244307,0.0,0.0,-2.886576912048,9
Sell,39df8bd2-410a-55d6-9cae-2f4bdea6523d,ef3f9e77-b47f-4480-a813-ad447e389236,BTC,1.9087943127839997,01/01/2024,102432.29586497053,0.0,0.0,0.0004404224002,0
Trade,f77f8ff4-e33e-5066-b1c0-9ffed0becaac,1027776d-eba6-4ba0-87c7-c6d3bfcd347e,CRO,128779.89999999998,03/03/2024,18185.69803242001,0.0,0.0,14.210832555,1
Trade,7467c9f6-1567-5e3d-9922-a87d8984efc5,5254e2bc-6941-4f1c-abc7-5e0b55988376,CVX,960.671,04/07/2024,3492.7241635000005,0.0,0.0,1.888736,0
Trade,289751cd-4381-5077-9ccc-4dc0f8c2b3c8,06e5701c-f059-4a52-9b4a-c0ec554cf36e,DAR,18599.11,04/07/2024,2490.994105,0.0,0.0,11.14828,1
Sell,3afdaad0-7e4e-56d7-a379-95b4eab23dce,aa60f638-2222-4258-be45-61fbd20ebb81,DIA,367.86,12/31/2023,187.1189296266,0.0,0.0,-2.52828347538,2
Trade,d85a9e5b-4920-5984-8a35-272aa5764a15,8f4ee9ec-0ac3-4275-9b7d-08f166904d91,DNT,29132.600000000002,07/26/2024,1245.41865,0.0,0.0,8.843165,2
Trade,bd9b5118-a4f2-5f36-9645-c94d25ca5b15,e6ea558c-b079-443f-a878-396ea5788d14,DOGE,433421.1000000001,03/10/2024,75945.80808644526,0.0,0.0,0.07312125,1
Trade,dd9cabb3-26ad-56f3-ae38-089f85a66b0c,7905e1a3-1f04-4118-afa3-55d04b2baa27,DYP,24812.999999999978,04/14/2024,11074.987315499986,0.0,0.0,12.464379,0
Trade,56b572b4-fffb-55b0-b008-4019467861b9,196d677a-9863-440a-b3d1-1c5c70c0a541,ENJ,209352.4299999997,02/26/2024,95726.67143839748,0.0,0.0,3.856816425,1
Trade,4b53a60e-296f-5092-a30c-4cb1eadc662b,c5cf587e-d0c7-4755-a1ab-53fbd299aae2,EOS,23168.2,03/08/2024,15214.700931804999,0.0,0.0,-4.00544625,3
